Index,Repository Name,Project Type,Automation Files,Stars,Forks,Project Size (KB),Commits (30 days),Open PRs (30 days),Closed PRs (30 days),Open Issues (30 days),Closed Issues (30 days),Rejection Rate (%),Avg. Merge Time (hours),Avg. Resolution Time (hours),Automation Group,Bot PR Closure Rate (%),Bot Issue Closure Rate (%),Bot Activity Score
106,sympy/sympy,Mixed,6,13253,4546,186897,30,46,54,29,11,22.0,53.553975694444446,73.28709722222222,Moderate Automation,40,50,25.5
107,prometheus/alertmanager,Open Source,6,6787,2192,42842,25,35,65,16,3,33.0,308.7609982638889,330.8016352201258,Moderate Automation,40,50,26.4
108,materializeinc/materialize,Mixed,6,5865,465,250287,30,27,73,0,0,9.0,8.936844618055556,10.620795281582954,Moderate Automation,40,0,27.9
109,apache/ignite,Open Source,6,4862,1910,437051,27,25,75,8,3,10.0,95.81770085470085,116.7791503267974,Moderate Automation,40,50,29.4
110,thanos-io/thanos,Open Source,6,13255,2124,229058,18,33,67,9,8,27.0,78.42888194444444,188.1767037037037,Moderate Automation,40,50,28.5
111,open-telemetry/opentelemetry-php,Open Source,5,775,191,3683,8,8,92,23,28,12.0,181.35611458333327,241.3263531746032,Moderate Automation,40,50,41.0
112,open-telemetry/opentelemetry-erlang-contrib,Open Source,5,172,126,951,9,37,63,10,3,6.0,255.9431237816764,211.48965408805032,Moderate Automation,40,50,24.8
113,pytest-dev/pytest,Open Source,5,12358,2730,35220,30,16,84,16,23,9.0,61.62496296296296,91.1688626126126,Moderate Automation,40,50,37.1
114,puppetlabs/puppet,Open Source,5,7504,2193,90565,0,11,89,16,17,6.0,53.509327309236944,121.131493993994,Moderate Automation,40,50,36.8
115,open-mmlab/mmcv,Open Source,5,5989,1658,14500,1,15,85,42,3,41.0,241.5351325757576,199.55273550724635,Moderate Automation,40,50,31.4
116,numpy/numpydoc,Mixed,5,314,163,847,4,10,90,16,10,7.000000000000001,94.46509036144576,235.9968333333333,Moderate Automation,40,50,35.0
117,bentoml/BentoML,Open Source,5,7306,802,95776,24,2,98,1,11,5.0,16.881998207885307,32.82795532646048,Moderate Automation,40,50,37.699999999999996
118,cortexproject/cortex,Open Source,4,5516,810,259706,30,16,84,12,7,15.0,54.45887681159422,57.09935692541857,Moderate Automation,40,50,31.3
119,apache/thrift,Open Source,4,10624,4039,34279,8,17,83,0,0,25.0,241.3352538314176,271.22406626506023,Moderate Automation,40,0,28.9
120,pallets/flask,Mixed,4,68650,16270,10762,5,5,95,1,38,49.0,176.29187198067635,221.55810579196216,Moderate Automation,40,50,43.9
121,apache/commons-lang,Open Source,4,2765,1608,27354,30,8,92,0,0,21.0,22.94826682316119,78.55570350241547,Moderate Automation,40,0,31.599999999999998
122,pytest-dev/pytest-html,Mixed,4,716,241,1195,0,8,92,30,22,9.0,548.1546619812583,868.0940696649029,Moderate Automation,40,50,38.199999999999996
123,open-telemetry/opentelemetry-erlang,Open Source,4,341,112,3713,24,10,90,19,3,10.0,174.71647222222222,169.91361893583726,Moderate Automation,40,50,31.9
124,open-telemetry/opentelemetry-swift,Open Source,4,232,160,3597,8,3,97,16,25,13.0,161.57814484126985,362.1136316872429,Moderate Automation,40,50,40.6
125,fluent/fluentd,Open Source,4,13024,1352,19824,22,1,99,7,14,11.0,170.9650220959596,125.39151570048313,Moderate Automation,40,50,37.9
126,open-telemetry/opentelemetry-rust,Open Source,4,1984,468,7343,30,17,83,22,3,9.0,27.42963963963964,49.221171875,Moderate Automation,40,50,29.8
127,open-telemetry/opentelemetry-collector-builder,Open Source,3,56,31,89,0,0,45,0,29,13.333333333333334,70.81248575498576,197.6881981981982,Moderate Automation,40,50,25.2
128,open-telemetry/opentelemetry-specification,Open Source,3,3801,897,18984,19,11,89,25,14,16.0,117.818900304414,132.7444487847222,Moderate Automation,40,50,33.9
129,facebookresearch/fairseq,Open Source,3,30854,6448,26079,0,47,53,64,9,19.0,107.34450980392158,229.5522463768116,Moderate Automation,40,50,21.599999999999998
130,opencv/opencv,Open Source,3,80268,55948,543027,30,24,76,21,17,12.0,54.53661024305556,56.14676684881603,Moderate Automation,40,50,30.9
131,projectmesa/mesa,Open Source,3,2746,933,14049,26,17,83,12,13,11.0,90.37849151234568,81.459593114241,Moderate Automation,40,50,31.799999999999997
132,rust-lang/rust,Mixed,3,100815,13023,581056,30,58,42,21,8,16.0,20.50005341880342,13.109765625,Moderate Automation,40,50,18.0
133,elastic/elasticsearch,Mixed,3,71419,25008,1344159,30,50,50,26,1,4.0,2.784299516908213,1.755023809523809,Moderate Automation,40,50,18.299999999999997
134,apache/tika,Open Source,3,2692,794,246706,30,1,99,0,0,6.0,19.809537037037035,19.843894500561166,Moderate Automation,40,0,32.7
135,fastai/fastai,Open Source,3,26540,7572,822695,0,16,84,43,12,24.0,532.0011851851851,903.7164772727272,Moderate Automation,40,50,31.799999999999997
136,ethereum/solidity,Open Source,3,23790,5936,76597,30,27,73,32,10,8.0,57.11492735042735,45.10570473251029,Moderate Automation,40,50,27.9
137,jenkinsci/blueocean-plugin,Open Source,3,2886,529,31793,0,21,79,0,0,23.0,198.49848214285717,642.8939556962025,Moderate Automation,40,0,26.7
138,apache/zookeeper,Open Source,3,12353,7259,149136,1,19,81,0,0,18.0,1116.98832010582,1194.7959979423867,Moderate Automation,40,0,27.3
139,openfaas/faas,Mixed,2,25365,1945,29837,0,5,95,9,54,30.0,75.32320512820512,493.7496737726098,Moderate Automation,40,50,46.699999999999996
140,tensorflow/models,Mixed,2,77327,45704,637750,12,32,68,30,30,33.0,1065.3800793650794,1037.5076871980675,Moderate Automation,40,50,31.4
141,apache/httpd,Open Source,2,3625,1156,339705,15,28,72,0,0,72.0,,528.2228433641975,Moderate Automation,40,0,23.599999999999998
142,tornadoweb/tornado,Open Source,2,21809,5519,10446,1,17,83,12,16,18.0,261.7670085470085,307.4224174174174,Moderate Automation,40,50,31.7
143,vuejs/vue,Open Source,2,208262,33712,32152,0,13,87,2,10,83.0,7.812916666666666,8.599428294573643,Moderate Automation,40,50,31.099999999999998
